id,queued_time,wait_time,runtime,node_requested,node_used,walltime
0,0,3468814,15145,1024,1024,86400
1,1773,3482213,46651,1024,1024,86400
2,68092,3390541,6245,1,1,86400
3,1824017,185785,6453,1,1,129600
4,1824039,243192,9066,1024,1024,86400
5,1937533,22355,44233,512,512,43200
6,1937579,23415,43288,512,512,43200
7,1974373,5540,14472,64,64,14400
8,1974525,14247,15411,1,1,43200
9,1974528,16590,14476,64,64,14400
10,1974533,16608,15429,1,1,39600
11,1974545,16836,14491,1,1,172800
12,1974564,16839,14508,1,1,39600
13,1974650,17013,14488,2,2,54000
14,1974662,17035,14514,64,64,14400
15,1974665,17058,14508,64,64,14400
16,1974670,17128,14492,64,64,14400
17,1974682,19729,15388,64,64,14400
18,1981564,295,12092,128,128,21600
19,1981905,214,11579,2,2,600
20,1982744,49,12521,48,48,14400
21,1983359,48,11809,10,10,1800
22,1984063,8032,20406,11,11,7200
23,1986799,27,7282,1,1,900
24,1990405,1714,10834,1,1,39600
25,1992055,87,10851,1,1,43200
26,1993004,2214,12252,128,128,21600
27,1993346,1970,11956,128,128,21600
28,1994052,8947,12699,1,1,172800
29,1994407,9716,13085,1,1,43200
30,1994565,22,2543,1,1,1800
31,1994603,28,7276,1,1,600
32,1995256,84,12328,2,2,171000
33,1995493,9466,11792,1,1,3600
34,1996238,26,3835,1,1,21600
35,1996256,3845,6629,256,256,14400
36,1996257,3871,6442,256,256,14400
37,1999614,4670,3742,2,2,7200
38,1999616,6980,3743,1,1,900
39,1999619,7000,3739,64,64,14400
40,1999621,7016,3739,1,1,300
41,1999632,7025,3739,64,64,14400
42,1999672,8357,3710,64,64,14400
43,1999690,10018,3706,64,64,14400
44,1999693,10035,3726,1,1,64800
45,1999696,10050,3729,1,1,43200
46,1999710,10056,3729,64,64,14400
47,2002535,25,7277,8,8,7200
48,2002920,2065,10672,96,96,14400
49,2003370,1632,12562,128,128,21600
50,2004827,21,2383,8,8,3600
51,2004965,4876,3776,64,64,14400
52,2006431,3967,3721,64,64,14400
53,2006434,3991,3713,64,64,14400
54,2006436,4009,3712,1,1,1800
55,2006438,4026,3732,64,64,14400
56,2006493,5275,3709,64,64,14400
57,2006495,6966,3708,1,1,86400
58,2006512,6985,3711,1,1,39600
59,2007615,2250,11655,48,48,14400
60,2007727,2156,12357,128,128,21600
61,2007728,2177,11655,128,128,21600
62,2010226,19,7279,8,8,7200
63,2012448,20,19008,1,1,14400
64,2015619,40,10812,96,96,14400
65,2016037,25,12750,27,27,5760
66,2017031,26,11716,1,1,39600
67,2017703,27,12147,1,1,39600
68,2018230,29,7291,8,8,7200
69,2018407,27,21709,1,1,39600
70,2018994,26,3759,64,64,14400
71,2019013,47,3775,64,64,14400
72,2019016,25,3738,64,64,14400
73,2019018,60,3719,64,64,14400
74,2019034,66,3755,1,1,10800
75,2019037,81,3717,64,64,14400
76,2019052,86,3737,64,64,14400
77,2019054,104,3775,10,10,5340
78,2019056,121,3775,64,64,14400
79,2019059,138,3736,1,1,39600
80,2019062,3833,3754,64,64,14400
81,2019072,3890,3727,64,64,14400
82,2019079,3903,3727,64,64,14400
83,2019081,3919,3730,1,1,5400
84,2019092,3945,3732,1,1,43200
85,2019170,3888,3731,1,1,43200
86,2019173,3902,3694,64,64,14400
87,2019176,3920,3752,64,64,14400
88,2019178,3937,3752,1,1,43200
89,2019190,3944,3714,1,1,39600
90,2021472,16,11524,48,48,14400
91,2021901,22,21707,1,1,900
92,2022549,19,21702,1,1,39600
93,2026033,26,7284,1,1,39600
94,2026412,27,10447,96,96,14400
95,2029070,25,1057,1,1,43200
96,2029188,25,21689,128,128,21600
97,2029189,41,21711,128,128,21600
98,2030239,21,21711,128,128,21600
99,2031428,17,19632,1,1,590400
100,2032954,27,11619,48,48,14400
101,2033734,27,7280,8,8,7200
102,2036828,27,10743,96,96,14400
103,2040502,20,21690,1,1,39600
104,2041881,27,7285,1,1,1800
105,2044223,18,21702,1,1,28500
106,2044547,24,11628,1,1,3600
107,2044933,49,21698,1,1,21600
108,2047546,22,10688,1,1,1320
109,2049774,29,7288,8,8,7200
110,2050401,24,225,128,128,1800
111,2050494,28,227,1,1,7200
112,2050732,45,221,128,128,1800
113,2050751,45,242,1,1,21600
114,2050769,46,243,128,128,1800
115,2050789,44,244,1,1,39600
116,2050962,40,249,1,1,21600
117,2051019,76,216,128,128,1800
118,2051020,103,20399,1,1,21600
119,2051096,46,246,1,1,39600
120,2051174,28,205,128,128,1800
121,2051351,46,266,1,1,39600
122,2051429,25,228,128,128,1800
123,2051468,26,21700,128,128,21600
124,2051526,27,226,128,128,1800
125,2051585,26,207,1,1,72000
126,2051648,42,243,128,128,1800
127,2051710,18,224,128,128,1800
128,2051780,42,245,128,128,1800
129,2051839,27,220,1,1,3600
130,2051934,60,208,128,128,1800
131,2052089,26,2309,27,27,6540
132,2052223,26,89,1,1,1740
133,2052242,25,246,128,128,1800
134,2052281,25,21697,1,1,172800
135,2052319,46,245,128,128,1800
136,2052339,45,266,128,128,1800
137,2052358,47,265,50,50,1800
138,2052377,46,266,2,2,120
139,2052397,46,265,128,128,1800
140,2052416,46,1177,1,1,39600
141,2052495,46,266,128,128,3600
142,2052562,18,2978,1,1,39600
143,2052655,59,1966,1,1,43200
144,2052748,27,2100,128,128,3600
145,2052826,27,2062,128,128,3600
146,2052972,18,2158,128,128,3600
147,2053021,26,21702,1,1,1800
148,2053255,28,301,128,128,3600
149,2053352,28,986,1,1,129600
150,2053373,25,15398,64,64,14400
151,2053376,234,14470,1,1,1320
152,2053378,265,14498,64,64,14400
153,2053381,2746,14478,64,64,14400
154,2053390,2762,14493,64,64,14400
155,2053393,2778,14493,3,3,600
156,2053430,2776,14477,1,1,7200
157,2053432,2797,15413,64,64,14400
158,2053434,3210,14479,64,64,14400
159,2053437,3227,14499,1,1,43200
160,2053439,14670,14483,64,64,14400
161,2053448,14723,14481,64,64,14400
162,2053450,15373,14479,64,64,14400
163,2053452,17212,14479,1,1,9000
164,2053454,17252,14496,1,1,23400
165,2053456,17275,14510,64,64,14400
166,2053467,17285,14509,64,64,14400
167,2053469,17700,14501,1,1,39600
168,2053471,17722,14497,1,1,43200
169,2053474,18196,14474,64,64,14400
170,2053565,103,2454,128,128,3600
171,2053587,788,2240,1,1,172800
172,2053621,830,2244,1,1,14400
173,2053641,1068,2106,128,128,3600
174,2053718,1202,2032,128,128,3600
175,2053805,1138,3352,1,1,21600
176,2053900,1275,2072,128,128,3600
177,2054032,1555,497,1,1,21600
178,2054896,1948,6514,1,1,172800
179,2056026,2298,4143,256,256,9000
180,2056158,1118,11580,48,48,14400
181,2056558,1701,3818,1,1,39600
182,2056560,1741,4620,1,1,259200
183,2056563,2881,3815,1,1,2100
184,2056565,5539,3717,64,64,14400
185,2056567,5673,3703,1,1,21600
186,2056576,5684,3803,6,6,1800
187,2056581,5914,4647,1,1,86400
188,2056583,5933,4668,1,1,172800
189,2056586,5949,4808,1,1,43200
190,2056596,5958,4630,64,64,14400
191,2056598,6690,3716,1,1,39600
192,2056616,6771,3716,1,1,3540
193,2056620,6787,3735,1,1,32400
194,2056622,9228,14488,64,64,14400
195,2056624,9347,14485,1,1,43200
196,2056626,9464,14483,1,1,1800
197,2056677,576,2161,1,1,86400
198,2056860,45843,87493,1025,1025,86400
199,2056955,164965,68992,1,1,1800
200,2057210,9822,14478,1,1,86400
201,2057212,9939,14476,2,2,7200
202,2057214,9993,14480,64,64,14400
203,2057216,10035,14492,1,1,39600
204,2057520,29,7278,1,1,1800
205,2058208,5217,11207,96,96,14400
206,2059639,3310,2159,64,64,7200
207,2062861,3129,21691,1,1,36000
208,2064956,2314,3993,256,256,9000
209,2064970,6323,3064,1,1,43200
210,2064993,2297,4154,256,256,9000
211,2065007,6465,3022,1,1,39600
212,2065028,9494,3090,1,1,7200
213,2065034,12626,3088,256,256,9000
214,2065049,15746,3141,256,256,9000
215,2065053,2257,4073,1,1,43200
216,2065070,6344,3043,256,256,9000
217,2065075,9424,3154,256,256,9000
218,2065193,23,7289,8,8,7200
219,2066500,845,21710,1,1,86400
220,2067941,27,21691,4,4,180
221,2068798,63,11968,1,1,600
222,2069478,20,14478,64,64,14400
223,2069491,48,14517,2,2,54000
224,2069493,27,14496,64,64,14400
225,2069494,10873,14477,64,64,14400
226,2069496,11257,14491,64,64,14400
227,2069517,12115,14482,64,64,14400
228,2069519,12175,14501,64,64,14400
229,2069521,12193,14500,64,64,14400
230,2069531,12277,14488,1,1,1740
231,2069533,12298,14483,1,1,1740
232,2069534,14487,14490,64,64,14400
233,2069536,14526,14507,6,6,172800
234,2069553,14533,14503,1,1,43200
235,2071622,10998,14488,1,1,39600
236,2071624,11032,14512,64,64,14400
237,2071626,11704,14488,1,1,43200
238,2071643,24162,14488,64,64,14400
239,2071645,24471,14497,1,1,900
240,2071648,24554,14489,1,1,39600
241,2071650,24611,14489,64,64,14400
242,2071662,24634,14513,64,64,14400
243,2071665,24672,14513,64,64,14400
244,2071669,24690,14512,1,1,3600
245,2072918,26,7275,1,1,900
246,2073866,28,21685,1,1,39600
247,2074505,37,21694,128,128,21600
248,2074579,23,10833,1,1,39600
